actual_price,nn_pred,xgb_pred
3.75,3.9153094,3.7638538
3.75,4.0279665,3.7675838
3.0,3.2537174,2.9959803
3.75,3.916465,3.7637827
3.75,3.7473674,3.6798973
3.5,3.632606,3.4715009
3.1,3.0136135,3.055571
3.0,3.157258,2.9651895
2.5,3.003912,2.5417404
2.5,3.0848794,2.5615118
3.0,3.177906,2.9641035
2.5,3.0783691,2.5679903
4.25,4.230625,4.187941
3.5,3.6013987,3.4448903
4.5,4.2183914,4.4863505
2.5,2.9509568,2.5419436
4.25,4.2842264,4.1864996
2.2,3.0931091,2.241374
3.0,3.167507,2.9649055
2.0,3.1065083,2.021214
2.45,2.9311395,2.514233
3.1,3.0136135,3.0537438
18.0,20.668715,18.22353
2.5,2.9258971,2.5364463
2.5,2.9074812,2.5278237
2.5,2.9572873,2.5368483
2.5,3.0769715,2.5660548
8.95,9.585283,8.9508095
0.8,0.9869957,0.80516833
2.2,2.7972903,2.231974
0.8,0.9636682,0.80357826
3.5,3.8815272,3.5655117
3.5,3.7820103,3.5658417
3.75,3.7109182,3.7282417
3.25,3.5380871,3.200064
3.25,3.5683973,3.2653594
3.1,3.4126408,3.1009438
4.5,4.439128,4.45047
3.0,3.1499457,2.9703915
2.5,2.8843346,2.507822
2.5,2.9725194,2.5092754
3.75,3.750472,3.7210124
3.0,3.0816848,2.9338021
3.75,3.7615478,3.7329688
4.0,3.7443569,3.9226468
3.0,3.4653432,3.0574403
2.2,2.9178028,2.231974
2.5,2.9492939,2.5386877
4.25,4.065648,4.195586
2.5,2.924068,2.536641
3.75,4.0573893,3.7864137
2.5,2.9467773,2.5616388
4.25,4.1934576,4.1972327
3.75,3.670311,3.7632315
4.25,4.109849,4.2010407
3.0,3.1938093,2.9470983
2.5,3.0717602,2.5599933
4.5,4.25251,4.469204
3.75,3.7696965,3.6820943
2.0,2.6757278,2.0218124
2.5,2.9594972,2.542401
2.5,3.0820382,2.5598478
2.5,3.0214918,2.5092754
3.5,3.9071252,3.5666142
18.0,18.571623,17.975069
2.5,2.9626884,2.5099986
2.5,2.9647624,2.5354674
3.5,3.595506,3.442486
4.38,3.6208718,3.5023022
3.0,3.0638287,2.9727805
3.5,3.6245682,3.4461205
2.5,3.001026,2.55614
2.5,3.0034103,2.5083966
2.5,2.978359,2.507822
2.0,2.6527283,2.0217488
2.45,2.940507,2.5145679
3.75,4.0587225,3.7864137
3.5,3.792397,3.561669
0.8,1.0024688,0.80516833
3.0,3.0621796,2.9333446
2.2,3.0897114,2.2381716
3.75,4.306983,3.8095963
2.5,3.0695515,2.5673585
2.0,2.6971767,2.0218124
4.25,4.10919,4.1970277
3.0,3.1492178,2.9633608
3.75,3.7549284,3.7251093
3.0,3.5689003,3.0251803
4.5,4.4457474,4.446462
2.5,2.9737926,2.5083966
3.0,3.2268143,2.9491005
2.5,3.0049696,2.5083568
4.5,4.3694835,4.445165
2.5,3.0803027,2.5686755
4.75,4.5401874,4.689435
2.0,2.624,2.0271523
3.0,3.158427,2.9703915
0.8,0.9804909,0.80378854
3.0,2.6137378,2.573565
3.0,3.234268,2.9624906
28.0,28.059366,27.982693
2.5,2.918524,2.5363936
3.1,3.4012218,3.1016688
3.0,3.4782274,3.0570476
3.1,3.3866289,3.1018622
3.0,3.0769887,2.9519894
2.1,2.5581927,2.8201292
14.75,16.82146,14.840483
2.45,2.913189,2.5141702
3.5,3.5133421,3.442486
0.8,0.96953434,0.80516833
2.5,3.1773248,2.5422857
2.45,2.9344575,2.514249
2.5,3.0613136,2.5564756
2.5,2.9609938,2.5099986
2.5,2.9236383,2.5407827
2.5,2.9618576,2.542401
3.0,3.094468,2.955444
3.0,3.2002754,2.964869
0.8,0.9952618,0.8047895
2.5,2.977693,2.5543745
22.5,20.73592,22.344648
3.75,4.024333,3.7736754
3.75,3.7565444,3.7357306
2.5,3.0506146,2.5552392
3.0,3.0682716,2.9316943
3.0,3.1749892,2.964448
3.0,3.2832065,2.9959803
3.5,3.6263924,3.4448903
3.0,3.1847339,2.9959803
3.75,3.7526577,3.7351053
3.0,2.8520412,2.9267654
2.45,2.9690444,2.5134223
2.5,3.0837395,2.5630124
3.75,4.03907,3.7732828
4.5,4.258506,4.4743247
3.25,3.565246,3.3038013
3.0,3.8776438,3.02466
2.5,2.9794858,2.5367603
2.1,2.6239061,2.602119
3.0,3.1534922,2.9576774
3.0,3.2769141,2.9901938
3.5,3.6685321,3.473054
4.0,3.7457578,3.9242737
2.5,2.9624138,2.5373058
28.0,25.938688,27.926846
3.25,3.4976027,3.2049353
2.5,3.1273384,2.5409389
3.0,3.0713782,2.9329426
0.8,0.99884796,0.8037572
3.0,3.5316155,3.0189044
18.0,18.773594,17.91145
2.5,3.0704274,2.5621893
4.75,4.392185,4.6845345
2.55,3.0136135,2.6193147
2.2,3.0908504,2.240144
2.5,3.084377,2.567816
3.5,3.5878463,3.4938996
3.0,3.1817982,2.946344
4.5,4.391964,4.446888
2.0,2.6651258,2.0218124
2.5,2.9810808,2.5375094
3.5,3.6121044,3.5498464
3.75,3.9409044,3.7638538
3.0,3.2891247,2.9907348
3.0,3.210569,2.9481857
3.5,3.549366,3.478396
3.5,3.8285308,3.5655117
2.55,3.0136135,2.6163967
3.75,4.1154995,3.764354
2.2,2.8016956,2.2299645
3.0,3.2015653,2.947043
2.2,3.0689778,2.240144
3.0,3.2783523,2.9907348
3.75,3.7569504,3.7270954
3.75,3.6945202,3.727147
2.5,2.9595325,2.5083966
2.5,3.0034053,2.541612
22.5,21.070498,24.068525
3.1,3.0136135,3.051535
3.25,3.5539916,3.243201
3.75,4.0613966,3.7815173
2.5,3.0873256,2.5610268
3.0,3.2161674,2.948241
2.45,2.9503975,2.5138807
3.0,3.0697765,2.9324298
2.5,3.0670574,2.563167
3.0,3.314305,2.994233
2.5,3.0158625,2.5553093
3.5,3.6024296,3.4461205
4.5,4.4064484,4.4431667
2.5,3.0261984,2.556811
4.75,4.5060387,4.691975
2.45,2.9426842,2.5134223
2.5,2.921903,2.5375853
0.8,0.982728,0.80378854
3.0,3.4931371,3.0618005
2.2,2.8035884,2.2299645
2.55,3.0136135,2.616613
0.8,0.9817709,0.80441636
3.5,3.6000063,3.47096
3.25,3.599182,3.3074245
2.1,2.5663872,2.7302468
3.75,4.333727,3.8073504
3.0,3.2336688,2.9639316
3.0,3.6373703,3.0236044
3.5,3.6200876,3.5602787
3.75,3.7244546,3.7288783
3.0,3.1804116,2.97099
3.0,3.5065196,3.02466
2.45,2.9759145,2.5138807
3.75,3.964016,3.7632825
2.5,2.9720001,2.5083966
2.2,3.0812404,2.241374
2.5,3.0325437,2.556811
2.5,2.957553,2.5419436
9.25,9.697842,9.221134
0.8,0.96621716,0.80350566
3.25,3.5594156,3.3085985
2.1,2.583709,2.796478
3.1,3.3234458,3.1015787
4.5,4.4240055,4.446462
2.5,3.0104666,2.5548544
3.75,3.7402685,3.6819525
3.25,3.5447593,3.206442
2.5,2.9176717,2.5359888
3.0,3.060434,2.9727805
2.45,2.9490805,2.5137906
2.5,3.131134,2.541455
3.5,3.6632757,3.472513
3.5,3.6026666,3.4820094
3.0,3.1521196,2.9709263
2.5,3.0657496,2.564158
3.5,3.545144,3.4798734
3.0,3.2207603,2.9477835
3.0,3.3777575,3.0574403
2.5,2.944993,2.5083568
2.55,3.0136135,2.6170678
0.8,0.9918495,0.799526
2.65,3.09192,2.7461045
3.5,3.619313,3.4448903
3.0,3.08456,2.9536064
3.25,3.5854247,3.3170395
0.8,0.9867677,0.7966574
3.5,3.5948768,3.472513
2.5,3.0041542,2.558235
2.5,2.9208748,2.5359888
2.2,3.0993066,2.236799
20.45,17.613163,20.354792
4.5,4.4373784,4.446462
2.5,3.1166413,2.5417619
3.5,3.6171427,3.472513
3.0,3.0951967,2.9527123
3.0,3.088583,2.9560864
0.8,0.98704475,0.80410784
3.5,3.5214536,3.442486
2.45,3.0113206,2.5130188
